price,crime,nox,rooms,dist,radial,proptax,stratio,lowstat
9500,9.339,6.79,6.38,1.97,24,66.6,20.2,24.08
14500,8.492,5.84,6.35,2.05,24,66.6,20.2,17.64
14100,10.062,5.84,6.83,2.09,24,66.6,20.2,19.69
16100,6.444,5.84,6.42,2.2,24,66.6,20.2,12.03
14300,5.581,7.13,6.44,2.32,24,66.6,20.2,16.22
11700,13.913,7.13,6.21,2.22,24,66.6,20.2,15.17
13400,11.16,7.4,6.63,2.12,24,66.6,20.2,23.27
9600,14.421,7.4,6.46,2,24,66.6,20.2,18.05
8700,15.177,7.4,6.15,1.91,24,66.6,20.2,26.45
8400,13.678,7.4,5.93,1.82,24,66.6,20.2,34.02
12800,9.391,7.4,5.63,1.82,24,66.6,20.2,22.88
10500,22.051,7.4,5.82,1.87,24,66.6,20.2,22.11
17100,9.724,7.4,6.41,2.07,24,66.6,20.2,19.52
18400,5.666,7.4,6.22,2,24,66.6,20.2,16.59
15400,9.967,7.4,6.48,1.98,24,66.6,20.2,18.85
10800,12.802,7.4,5.85,1.9,24,66.6,20.2,23.79
11800,10.672,7.4,6.46,1.99,24,66.6,20.2,23.98
14900,6.288,7.4,6.34,2.07,24,66.6,20.2,17.79
12600,9.925,7.4,6.25,2.2,24,66.6,20.2,16.44
14100,9.329,7.13,6.18,2.26,24,66.6,20.2,18.13
13000,7.526,7.13,6.42,2.19,24,66.6,20.2,19.31
13400,6.718,7.13,6.75,2.32,24,66.6,20.2,17.44
15200,5.441,7.13,6.65,2.36,24,66.6,20.2,17.73
16100,5.09,7.13,6.3,2.37,24,66.6,20.2,17.27
17794,8.248,7.13,7.39,2.45,24,66.6,20.2,16.74
14900,9.514,7.13,6.73,2.5,24,66.6,20.2,18.71
14100,4.752,7.13,6.52,2.44,24,66.6,20.2,18.13
12700,4.669,7.13,5.98,2.58,24,66.6,20.2,19.01
13500,8.201,7.13,5.94,2.78,24,66.6,20.2,16.94
14900,7.752,7.13,6.3,2.78,24,66.6,20.2,16.23
20000,6.801,7.13,6.08,2.72,24,66.6,20.2,14.7
16400,4.812,7.13,6.7,2.6,24,66.6,20.2,16.42
17700,3.693,7.13,6.37,2.57,24,66.6,20.2,14.65
19500,6.655,7.13,6.32,2.73,24,66.6,20.2,13.99
20200,5.821,7.13,6.51,2.8,24,66.6,20.2,10.29
21400,7.839,6.55,6.21,2.96,24,66.6,20.2,13.22
19900,3.166,6.55,5.76,3.07,24,66.6,20.2,14.13
19000,3.775,6.55,5.95,2.87,24,66.6,20.2,17.15
19100,4.422,5.84,6,2.54,24,66.6,20.2,21.32
17052,15.576,5.8,5.93,2.91,24,66.6,20.2,18.13
20100,13.075,5.8,5.71,2.82,24,66.6,20.2,14.67
19900,4.349,5.8,6.17,3.03,24,66.6,20.2,16.29
19600,4.038,5.32,6.23,3.1,24,66.6,20.2,12.87
23200,3.569,5.8,6.44,2.9,24,66.6,20.2,14.36
29801,4.647,6.14,6.98,2.53,24,66.6,20.2,11.66
13800,8.056,5.84,5.43,2.43,24,66.6,20.2,18.14
13300,6.393,5.84,6.16,2.21,24,66.6,20.2,24.1
16700,4.871,6.14,6.48,2.31,24,66.6,20.2,18.68
12000,15.023,6.14,5.3,2.1,24,66.6,20.2,24.91
14600,10.233,6.14,6.18,2.17,24,66.6,20.2,18.03
21400,14.334,6.14,6.23,1.95,24,66.6,20.2,13.11
23001,5.824,5.32,6.24,3.42,24,66.6,20.2,10.74
23699,5.708,5.32,6.75,3.33,24,66.6,20.2,7.74
24999,5.731,5.32,7.06,3.41,24,66.6,20.2,6.35
21800,2.818,5.32,5.76,4.1,24,66.6,20.2,10.42
20600,2.379,5.83,5.87,3.72,24,66.6,20.2,13.34
21200,3.674,5.83,6.31,3.99,24,66.6,20.2,10.58
19100,5.692,5.83,6.11,3.55,24,66.6,20.2,14.98
20600,4.836,5.83,5.9,3.15,24,66.6,20.2,11.45
15200,0.151,6.09,5.45,1.82,4,71.1,20.1,18.06
7000,0.183,6.09,5.41,1.76,4,71.1,20.1,23.97
8100,0.207,6.09,5.09,1.82,4,71.1,20.1,29.68
13600,0.106,6.09,5.98,1.87,4,71.1,20.1,18.07
20100,0.111,6.09,5.98,2.11,4,71.1,20.1,13.35
21800,0.173,5.85,5.71,2.38,6,39.1,19.2,12.01
24499,0.28,5.85,5.93,2.38,6,39.1,19.2,13.59
23100,0.179,5.85,5.67,2.8,6,39.1,19.2,17.6
19700,0.29,5.85,5.39,2.8,6,39.1,19.2,21.14
18300,0.268,5.85,5.79,2.89,6,39.1,19.2,14.1
21200,0.239,5.85,6.02,2.41,6,39.1,19.2,12.92
17500,0.178,5.85,5.57,2.4,6,39.1,19.2,15.1
16800,0.224,5.85,6.03,2.5,6,39.1,19.2,14.33
22400,0.063,5.73,6.59,2.48,1,27.3,21,9.67
20600,0.045,5.73,6.12,2.29,1,27.3,21,9.08
23899,0.061,5.73,6.98,2.17,1,27.3,21,5.64
22000,0.11,5.73,6.79,2.39,1,27.3,21,6.48
11900,0.047,5.73,6.03,2.51,1,27.3,21,7.88
