mnthborn,yearborn,age,electric,radio,tv,bicycle,educ,ceb,agefbrth,children,knowmeth,usemeth,monthfm,yearfm,agefm,idlnchld,heduc,agesq,urban,urb_educ,spirit,protest,catholic,frsthalf,educ0,evermarr
5,56,32,0.0,1.0,0.0,0.0,6,3,19.0,2,1.0,1.0,2.0,74.0,17.0,4.0,,1024,1,6,0,0,0,1,0,1
12,61,26,0.0,1.0,0.0,0.0,0,1,15.0,1,1.0,1.0,,,,10.0,,676,1,0,0,0,0,0,1,0
4,69,19,0.0,1.0,0.0,0.0,7,0,,0,1.0,1.0,,,,4.0,,361,1,7,1,0,0,1,0,0
1,56,32,0.0,0.0,0.0,0.0,7,6,19.0,6,1.0,1.0,12.0,75.0,19.0,6.0,7.0,1024,1,7,1,0,0,1,0,1
3,59,29,0.0,1.0,0.0,1.0,6,2,19.0,2,1.0,1.0,2.0,82.0,22.0,3.0,6.0,841,1,6,0,1,0,1,0,1
8,62,26,0.0,1.0,0.0,1.0,0,3,20.0,3,1.0,1.0,1.0,81.0,18.0,3.0,7.0,676,1,0,1,0,0,0,1,1
1,52,36,0.0,1.0,0.0,1.0,2,1,16.0,1,1.0,0.0,1.0,73.0,21.0,6.0,0.0,1296,1,2,1,0,0,1,0,1
3,52,36,0.0,1.0,1.0,0.0,7,7,17.0,7,1.0,1.0,1.0,73.0,20.0,4.0,7.0,1296,1,7,0,1,0,1,0,1
3,73,15,0.0,1.0,1.0,0.0,8,1,15.0,1,1.0,0.0,,,,4.0,,225,1,8,0,0,1,1,0,0
6,48,40,0.0,1.0,1.0,1.0,4,8,19.0,7,1.0,1.0,9.0,64.0,16.0,7.0,7.0,1600,1,4,1,0,0,1,0,1
9,64,24,0.0,1.0,1.0,1.0,0,2,19.0,2,1.0,0.0,5.0,83.0,18.0,5.0,12.0,576,1,0,1,0,0,0,1,1
1,60,28,0.0,1.0,0.0,0.0,0,3,20.0,3,1.0,1.0,6.0,84.0,24.0,4.0,0.0,784,1,0,0,0,0,1,1,1
12,69,18,0.0,1.0,0.0,0.0,7,0,,0,1.0,0.0,,,,3.0,,324,1,7,0,1,0,0,0,0
4,70,18,0.0,1.0,0.0,0.0,7,2,16.0,2,1.0,0.0,,,,2.0,,324,1,7,0,0,0,1,0,0
6,40,48,0.0,0.0,0.0,0.0,4,3,27.0,3,1.0,0.0,1.0,61.0,20.0,3.0,0.0,2304,1,4,1,0,0,1,0,1
1,60,28,0.0,1.0,0.0,0.0,7,2,22.0,2,1.0,1.0,9.0,88.0,28.0,6.0,0.0,784,1,7,1,0,0,1,0,1
10,48,40,0.0,0.0,0.0,0.0,0,4,15.0,4,1.0,0.0,7.0,64.0,15.0,4.0,,1600,1,0,1,0,0,0,1,1
6,59,29,0.0,0.0,0.0,0.0,0,5,17.0,5,1.0,1.0,10.0,77.0,18.0,10.0,7.0,841,1,0,0,0,0,1,1,1
4,70,18,0.0,0.0,0.0,0.0,5,0,,0,1.0,1.0,,,,4.0,,324,1,5,0,0,0,1,0,0
3,47,41,0.0,1.0,0.0,1.0,0,5,20.0,3,1.0,0.0,2.0,65.0,17.0,5.0,0.0,1681,1,0,1,0,0,1,1,1
8,69,19,0.0,0.0,0.0,0.0,7,0,,0,1.0,1.0,,,,3.0,,361,1,7,1,0,0,0,0,0
5,65,23,0.0,1.0,0.0,0.0,7,2,20.0,2,1.0,1.0,,,,5.0,,529,1,7,0,1,0,1,0,0
8,63,25,0.0,1.0,0.0,1.0,6,2,18.0,2,1.0,0.0,6.0,80.0,16.0,4.0,0.0,625,1,6,0,0,1,0,0,1
6,51,37,0.0,0.0,0.0,0.0,3,3,24.0,3,1.0,1.0,,,,6.0,,1369,1,3,1,0,0,1,0,0
1,63,25,0.0,0.0,0.0,0.0,0,2,22.0,1,1.0,0.0,10.0,79.0,16.0,6.0,0.0,625,1,0,0,1,0,1,1,1
1,45,43,0.0,0.0,0.0,0.0,1,0,,0,1.0,0.0,7.0,83.0,38.0,,0.0,1849,1,1,0,0,0,1,0,1
2,63,25,0.0,0.0,0.0,0.0,0,2,18.0,2,1.0,1.0,8.0,88.0,25.0,8.0,0.0,625,1,0,1,0,0,1,1,1
2,62,26,0.0,1.0,0.0,0.0,14,1,21.0,1,1.0,1.0,9.0,81.0,19.0,3.0,15.0,676,1,14,0,0,1,1,0,1
10,72,16,0.0,1.0,0.0,0.0,9,0,,0,1.0,0.0,,,,4.0,,256,1,9,0,0,1,0,0,0
10,66,22,0.0,1.0,1.0,0.0,10,0,,0,1.0,1.0,,,,2.0,,484,1,10,0,0,1,0,0,0
4,45,43,0.0,1.0,0.0,0.0,7,8,17.0,8,1.0,0.0,12.0,60.0,15.0,8.0,14.0,1849,1,7,1,0,0,1,0,1
7,65,23,0.0,1.0,0.0,0.0,11,1,22.0,1,1.0,0.0,,,,3.0,,529,1,11,1,0,0,0,0,0
7,72,16,0.0,1.0,0.0,0.0,7,0,,0,1.0,0.0,,,,3.0,,256,1,7,0,1,0,0,0,0
12,64,23,0.0,1.0,0.0,0.0,7,0,,0,1.0,1.0,,,,4.0,,529,1,7,0,0,1,0,0,0
10,68,20,0.0,0.0,0.0,0.0,7,1,18.0,1,1.0,1.0,,,,6.0,,400,1,7,0,1,0,0,0,0
7,64,24,0.0,1.0,0.0,1.0,10,1,18.0,1,1.0,1.0,,,,3.0,,576,1,10,0,0,1,0,0,0
4,66,22,0.0,1.0,0.0,1.0,9,1,20.0,0,1.0,1.0,,,,3.0,,484,1,9,0,0,1,1,0,0
3,73,15,0.0,1.0,0.0,1.0,7,0,,0,0.0,0.0,,,,2.0,,225,1,7,0,0,1,1,0,0
8,64,24,0.0,0.0,0.0,0.0,10,3,13.0,3,1.0,1.0,,,,4.0,,576,1,10,0,1,0,0,0,0
1,61,27,0.0,1.0,0.0,0.0,6,1,17.0,1,1.0,0.0,,,,4.0,,729,1,6,0,1,0,1,0,0
6,68,20,0.0,1.0,0.0,0.0,10,0,,0,1.0,0.0,,,,1.0,,400,1,10,1,0,0,1,0,0
3,70,18,0.0,1.0,0.0,0.0,10,0,,0,1.0,0.0,,,,4.0,,324,1,10,1,0,0,1,0,0
7,50,38,0.0,1.0,0.0,0.0,0,9,19.0,8,1.0,1.0,9.0,75.0,25.0,6.0,3.0,1444,1,0,0,1,0,0,1,1
6,72,16,0.0,1.0,0.0,0.0,9,0,,0,1.0,0.0,,,,2.0,,256,1,9,0,1,0,1,0,0
4,70,18,0.0,1.0,0.0,0.0,7,1,16.0,1,1.0,1.0,,,,4.0,,324,1,7,0,1,0,1,0,0
9,60,28,0.0,1.0,0.0,0.0,13,3,20.0,3,1.0,1.0,,,,4.0,,784,1,13,0,1,0,0,0,0
12,66,21,0.0,1.0,1.0,0.0,7,1,16.0,1,1.0,1.0,8.0,86.0,19.0,4.0,7.0,441,1,7,0,0,0,0,0,1
11,64,24,0.0,0.0,0.0,0.0,7,1,17.0,1,1.0,1.0,11.0,86.0,22.0,4.0,10.0,576,1,7,1,0,0,0,0,1
7,72,16,0.0,1.0,0.0,0.0,7,0,,0,1.0,1.0,,,,2.0,,256,1,7,1,0,0,0,0,0
4,69,19,0.0,1.0,0.0,0.0,7,1,18.0,1,1.0,1.0,3.0,85.0,15.0,4.0,7.0,361,1,7,1,0,0,1,0,1
10,59,29,0.0,1.0,0.0,0.0,7,2,26.0,2,1.0,1.0,2.0,82.0,22.0,2.0,10.0,841,1,7,0,0,0,0,0,1
2,55,33,0.0,1.0,0.0,1.0,7,6,18.0,6,1.0,1.0,1.0,76.0,20.0,5.0,6.0,1089,1,7,0,0,1,1,0,1
6,73,15,0.0,1.0,0.0,1.0,9,0,,0,1.0,1.0,,,,2.0,,225,1,9,0,0,1,1,0,0
6,57,31,0.0,1.0,0.0,0.0,0,5,19.0,5,1.0,1.0,7.0,81.0,24.0,3.0,2.0,961,1,0,1,0,0,1,1,1
6,65,23,0.0,1.0,0.0,0.0,9,1,21.0,1,1.0,1.0,,,,4.0,,529,1,9,0,0,1,1,0,0
6,54,34,0.0,1.0,0.0,0.0,0,2,16.0,2,1.0,0.0,9.0,72.0,18.0,4.0,0.0,1156,1,0,1,0,0,1,1,1
11,53,35,0.0,1.0,0.0,0.0,6,1,16.0,1,1.0,,1.0,71.0,17.0,4.0,10.0,1225,1,6,0,0,1,0,0,1
11,70,18,0.0,1.0,0.0,1.0,5,1,17.0,1,1.0,0.0,,,,2.0,,324,1,5,0,0,1,0,0,0
11,40,48,0.0,1.0,0.0,0.0,0,4,23.0,4,1.0,0.0,9.0,87.0,46.0,,0.0,2304,1,0,1,0,0,0,1,1
4,69,19,0.0,1.0,0.0,1.0,6,0,,0,1.0,0.0,,,,2.0,,361,1,6,1,0,0,1,0,0
5,40,48,0.0,0.0,0.0,0.0,0,11,19.0,10,1.0,0.0,12.0,59.0,19.0,,0.0,2304,1,0,0,0,0,1,1,1
2,66,22,0.0,1.0,0.0,0.0,7,0,,0,1.0,1.0,,,,6.0,,484,1,7,0,0,0,1,0,0
4,68,20,0.0,0.0,0.0,0.0,6,2,18.0,2,1.0,1.0,7.0,85.0,17.0,4.0,10.0,400,1,6,0,0,1,1,0,1
4,64,24,0.0,1.0,0.0,0.0,4,1,21.0,1,1.0,1.0,6.0,84.0,20.0,,,576,1,4,0,0,0,1,0,1
7,72,16,0.0,1.0,0.0,1.0,6,0,,0,1.0,0.0,,,,5.0,,256,1,6,1,0,0,0,0,0
3,65,23,0.0,1.0,0.0,0.0,10,2,19.0,2,1.0,1.0,,,,2.0,,529,1,10,1,0,0,1,0,0
9,59,29,0.0,1.0,1.0,1.0,7,3,17.0,3,1.0,1.0,3.0,76.0,16.0,6.0,0.0,841,1,7,0,1,0,0,0,1
12,69,18,0.0,1.0,1.0,1.0,10,0,,0,1.0,0.0,,,,3.0,,324,1,10,0,0,0,0,0,0
11,73,15,0.0,1.0,0.0,1.0,7,0,,0,0.0,0.0,,,,3.0,,225,1,7,0,1,0,0,0,0
3,72,16,0.0,1.0,1.0,1.0,7,0,,0,1.0,0.0,,,,3.0,,256,1,7,1,0,0,1,0,0
7,48,40,0.0,1.0,0.0,0.0,5,6,19.0,6,1.0,1.0,2.0,68.0,19.0,6.0,7.0,1600,1,5,1,0,0,0,0,1
6,63,25,0.0,1.0,0.0,0.0,0,2,19.0,2,1.0,1.0,5.0,80.0,16.0,6.0,3.0,625,1,0,1,0,0,1,1,1
1,40,48,0.0,1.0,0.0,1.0,3,9,20.0,6,1.0,0.0,1.0,62.0,22.0,10.0,0.0,2304,1,3,1,0,0,1,0,1
5,66,22,0.0,1.0,0.0,0.0,0,3,14.0,3,1.0,0.0,6.0,80.0,14.0,,0.0,484,1,0,0,0,0,1,1,1
8,63,25,0.0,1.0,0.0,1.0,5,4,16.0,4,1.0,1.0,9.0,82.0,19.0,6.0,0.0,625,1,5,1,0,0,0,0,1
12,66,21,0.0,1.0,0.0,1.0,5,2,18.0,2,1.0,1.0,,,,4.0,,441,1,5,1,0,0,0,0,0
2,63,25,0.0,0.0,0.0,0.0,4,2,15.0,2,1.0,1.0,10.0,82.0,19.0,2.0,12.0,625,1,4,0,0,0,1,0,1
6,64,24,0.0,1.0,0.0,1.0,7,3,18.0,3,1.0,0.0,6.0,88.0,24.0,4.0,5.0,576,1,7,1,0,0,1,0,1
12,49,38,0.0,1.0,0.0,1.0,6,4,18.0,4,1.0,1.0,9.0,84.0,34.0,4.0,3.0,1444,1,6,1,0,0,0,0,1
2,58,30,0.0,0.0,0.0,1.0,5,4,16.0,4,1.0,0.0,2.0,74.0,16.0,6.0,0.0,900,1,5,0,0,1,1,0,1
12,57,31,0.0,1.0,0.0,1.0,0,2,15.0,2,1.0,0.0,7.0,83.0,25.0,7.0,9.0,961,1,0,1,0,0,0,1,1
9,67,21,0.0,1.0,0.0,1.0,5,3,15.0,2,1.0,1.0,,,,3.0,,441,1,5,0,0,0,0,0,0
1,55,33,0.0,1.0,0.0,1.0,6,3,19.0,3,1.0,1.0,1.0,73.0,18.0,3.0,0.0,1089,1,6,1,0,0,1,0,1
12,48,40,0.0,1.0,0.0,0.0,6,3,21.0,2,1.0,0.0,,,,4.0,,1600,1,6,1,0,0,0,0,0
12,68,19,0.0,0.0,0.0,0.0,7,1,18.0,1,1.0,1.0,,,,4.0,,361,1,7,1,0,0,0,0,0
7,57,31,0.0,0.0,0.0,0.0,5,5,18.0,5,1.0,1.0,,,,6.0,,961,1,5,1,0,0,0,0,0
10,60,28,0.0,0.0,0.0,0.0,7,3,18.0,3,1.0,1.0,7.0,81.0,20.0,3.0,0.0,784,1,7,1,0,0,0,0,1
5,69,19,0.0,0.0,0.0,0.0,9,0,,0,1.0,1.0,,,,5.0,,361,1,9,1,0,0,1,0,0
11,60,28,0.0,1.0,0.0,0.0,10,3,20.0,3,1.0,0.0,1.0,80.0,19.0,4.0,6.0,784,1,10,1,0,0,0,0,1
6,69,19,0.0,0.0,0.0,1.0,6,1,19.0,0,1.0,0.0,12.0,86.0,17.0,8.0,0.0,361,1,6,1,0,0,1,0,1
11,58,30,0.0,1.0,1.0,0.0,7,5,15.0,5,1.0,1.0,1.0,74.0,15.0,6.0,,900,1,7,0,0,0,0,0,1
4,41,47,0.0,1.0,0.0,0.0,0,11,16.0,7,1.0,1.0,7.0,80.0,39.0,,,2209,1,0,0,0,0,1,1,1
7,57,31,0.0,1.0,0.0,0.0,4,2,17.0,2,1.0,1.0,12.0,73.0,16.0,,,961,1,4,1,0,0,0,0,1
11,60,28,0.0,0.0,0.0,0.0,7,4,22.0,3,1.0,1.0,6.0,79.0,18.0,8.0,0.0,784,1,7,1,0,0,0,0,1
1,68,20,0.0,0.0,0.0,0.0,10,0,,0,1.0,0.0,,,,8.0,,400,1,10,0,0,0,1,0,0
10,71,17,0.0,0.0,0.0,0.0,5,0,,0,1.0,1.0,,,,5.0,,289,1,5,0,0,1,0,0,0
7,67,21,0.0,0.0,0.0,0.0,5,1,17.0,1,1.0,1.0,,,,6.0,,441,1,5,0,0,0,0,0,0
12,62,25,0.0,0.0,0.0,0.0,5,2,19.0,2,1.0,1.0,4.0,84.0,21.0,4.0,,625,1,5,0,1,0,0,0,1
7,64,24,0.0,1.0,0.0,0.0,7,1,19.0,1,1.0,1.0,5.0,88.0,23.0,4.0,7.0,576,1,7,0,1,0,0,0,1
1,56,32,0.0,1.0,0.0,0.0,4,5,19.0,5,1.0,1.0,,,,10.0,,1024,1,4,0,0,1,1,0,0
6,67,21,0.0,1.0,0.0,0.0,10,0,,0,1.0,0.0,,,,5.0,,441,1,10,0,1,0,1,0,0
10,69,19,0.0,1.0,0.0,0.0,6,0,,0,1.0,0.0,4.0,88.0,18.0,4.0,10.0,361,1,6,1,0,0,0,0,1
2,52,36,0.0,1.0,0.0,1.0,2,6,21.0,4,1.0,1.0,2.0,85.0,33.0,4.0,,1296,1,2,0,0,0,1,0,1
7,73,15,0.0,1.0,0.0,0.0,3,0,,0,0.0,0.0,,,,2.0,,225,1,3,0,0,0,0,0,0
1,54,34,0.0,1.0,0.0,1.0,7,2,17.0,1,1.0,0.0,8.0,77.0,23.0,5.0,7.0,1156,1,7,1,0,0,1,0,1
5,48,40,0.0,1.0,0.0,1.0,2,4,23.0,4,1.0,0.0,3.0,82.0,33.0,6.0,0.0,1600,1,2,1,0,0,1,0,1
4,48,40,0.0,0.0,0.0,0.0,1,2,23.0,2,1.0,0.0,,,,14.0,,1600,1,1,0,0,0,1,0,0
11,72,16,0.0,0.0,0.0,0.0,5,0,,0,1.0,0.0,,,,2.0,,256,1,5,0,0,0,0,0,0
6,71,17,0.0,1.0,0.0,0.0,5,0,,0,1.0,0.0,,,,4.0,,289,1,5,1,0,0,1,0,0
5,69,19,0.0,1.0,0.0,1.0,8,0,,0,1.0,1.0,,,,2.0,,361,1,8,1,0,0,1,0,0
2,70,18,0.0,1.0,0.0,1.0,10,0,,0,1.0,0.0,,,,4.0,,324,1,10,0,0,0,1,0,0
9,62,26,0.0,1.0,0.0,1.0,7,1,16.0,1,1.0,0.0,10.0,84.0,22.0,6.0,7.0,676,1,7,0,0,0,0,0,1
5,64,24,0.0,0.0,0.0,0.0,8,2,15.0,2,1.0,1.0,,,,4.0,,576,1,8,0,0,1,1,0,0
7,40,48,0.0,1.0,0.0,0.0,0,4,15.0,4,1.0,0.0,7.0,53.0,13.0,8.0,10.0,2304,1,0,0,1,0,0,1,1
4,41,47,0.0,1.0,0.0,0.0,3,2,16.0,2,1.0,1.0,,,,4.0,,2209,1,3,0,1,0,1,0,0
2,47,41,0.0,0.0,0.0,0.0,0,3,18.0,3,1.0,0.0,12.0,76.0,29.0,3.0,7.0,1681,1,0,0,0,1,1,1,1
9,51,37,0.0,1.0,0.0,0.0,7,5,22.0,4,1.0,1.0,12.0,74.0,23.0,6.0,7.0,1369,1,7,0,0,1,0,0,1
8,73,15,0.0,1.0,0.0,0.0,9,0,,0,1.0,0.0,,,,0.0,,225,1,9,0,0,1,0,0,0
4,67,21,0.0,0.0,0.0,0.0,6,1,19.0,1,1.0,1.0,,,,4.0,,441,1,6,0,0,0,1,0,0
1,67,21,0.0,1.0,0.0,0.0,5,1,20.0,1,1.0,0.0,,,,6.0,,441,1,5,0,0,0,1,0,0
2,43,45,0.0,1.0,0.0,0.0,4,4,26.0,4,1.0,,11.0,69.0,26.0,,7.0,2025,1,4,0,0,0,1,0,1
3,66,22,0.0,1.0,0.0,0.0,13,0,,0,1.0,0.0,,,,2.0,,484,1,13,0,1,0,1,0,0
3,62,26,0.0,1.0,1.0,0.0,17,1,24.0,1,1.0,1.0,5.0,87.0,25.0,4.0,2.0,676,1,17,0,0,0,1,0,1
10,72,16,0.0,1.0,0.0,0.0,9,0,,0,1.0,0.0,,,,3.0,,256,1,9,0,1,0,0,0,0
2,62,26,0.0,1.0,1.0,1.0,5,2,23.0,2,1.0,1.0,5.0,83.0,21.0,6.0,12.0,676,1,5,0,0,0,1,0,1
11,47,40,0.0,1.0,0.0,0.0,7,3,19.0,3,1.0,1.0,9.0,68.0,20.0,3.0,6.0,1600,1,7,0,1,0,0,0,1
6,71,17,0.0,1.0,0.0,0.0,9,0,,0,1.0,0.0,,,,4.0,,289,1,9,0,1,0,1,0,0
3,52,36,0.0,1.0,0.0,0.0,6,4,20.0,4,1.0,1.0,7.0,74.0,22.0,5.0,12.0,1296,1,6,1,0,0,1,0,1
8,49,39,1.0,1.0,1.0,0.0,9,3,22.0,3,1.0,0.0,8.0,70.0,21.0,4.0,6.0,1521,1,9,0,0,0,0,0,1
5,62,26,1.0,1.0,0.0,0.0,2,2,19.0,2,1.0,1.0,7.0,88.0,26.0,2.0,10.0,676,1,2,0,1,0,1,0,1
11,63,24,0.0,1.0,1.0,0.0,9,0,,0,1.0,1.0,,,,3.0,,576,1,9,0,1,0,0,0,0
6,72,16,0.0,1.0,1.0,0.0,10,0,,0,1.0,0.0,,,,4.0,,256,1,10,0,1,0,1,0,0
3,65,23,0.0,1.0,1.0,0.0,10,2,17.0,2,1.0,1.0,,,,3.0,,529,1,10,0,1,0,1,0,0
11,65,22,0.0,1.0,0.0,0.0,7,2,18.0,2,1.0,1.0,5.0,87.0,21.0,6.0,4.0,484,1,7,0,1,0,0,0,1
6,61,27,0.0,1.0,1.0,0.0,10,2,23.0,2,1.0,1.0,8.0,87.0,26.0,4.0,7.0,729,1,10,0,0,1,1,0,1
3,61,27,0.0,1.0,1.0,0.0,0,2,20.0,2,1.0,1.0,1.0,82.0,20.0,4.0,6.0,729,1,0,1,0,0,1,1,1
7,65,23,0.0,1.0,0.0,0.0,7,2,18.0,2,1.0,1.0,12.0,82.0,17.0,2.0,,529,1,7,1,0,0,0,0,1
5,50,38,0.0,1.0,0.0,0.0,7,7,21.0,7,1.0,1.0,8.0,73.0,23.0,9.0,9.0,1444,1,7,1,0,0,1,0,1
5,71,17,0.0,1.0,0.0,0.0,8,1,17.0,1,1.0,0.0,,,,3.0,,289,1,8,1,0,0,1,0,0
5,66,22,0.0,1.0,0.0,1.0,7,2,16.0,2,1.0,1.0,2.0,87.0,20.0,4.0,7.0,484,1,7,1,0,0,1,0,1
3,52,36,0.0,1.0,0.0,1.0,6,2,20.0,1,1.0,0.0,1.0,75.0,22.0,4.0,3.0,1296,1,6,1,0,0,1,0,1
9,50,38,0.0,1.0,0.0,0.0,5,6,15.0,6,1.0,1.0,8.0,73.0,22.0,4.0,7.0,1444,1,5,1,0,0,0,0,1
2,60,28,0.0,0.0,0.0,0.0,7,3,19.0,3,1.0,1.0,2.0,79.0,19.0,4.0,7.0,784,1,7,1,0,0,1,0,1
12,69,18,0.0,0.0,0.0,0.0,7,0,,0,1.0,1.0,,,,4.0,,324,1,7,0,1,0,0,0,0
12,61,26,0.0,1.0,0.0,0.0,9,1,26.0,1,1.0,1.0,,,,4.0,,676,1,9,0,0,0,0,0,0
6,69,19,0.0,1.0,0.0,0.0,7,1,18.0,1,1.0,1.0,,,,4.0,,361,1,7,0,1,0,1,0,0
6,57,31,0.0,1.0,0.0,0.0,2,2,20.0,2,1.0,1.0,,,,4.0,,961,1,2,1,0,0,1,0,0
6,69,19,0.0,1.0,0.0,0.0,10,1,17.0,1,1.0,0.0,,,,4.0,,361,1,10,1,0,0,1,0,0
6,72,16,0.0,1.0,0.0,1.0,5,0,,0,1.0,1.0,,,,2.0,,256,1,5,0,0,0,1,0,0
2,62,26,0.0,0.0,0.0,0.0,7,2,19.0,1,1.0,1.0,12.0,79.0,17.0,6.0,10.0,676,1,7,1,0,0,1,0,1
7,57,31,0.0,0.0,0.0,0.0,0,2,18.0,1,1.0,1.0,,,,4.0,,961,1,0,1,0,0,0,1,0
12,50,37,0.0,1.0,0.0,0.0,0,3,15.0,3,1.0,0.0,7.0,75.0,24.0,6.0,7.0,1369,1,0,1,0,0,0,1,1
2,65,23,0.0,1.0,0.0,0.0,7,1,19.0,1,1.0,1.0,1.0,81.0,15.0,4.0,6.0,529,1,7,0,0,1,1,0,1
9,59,29,0.0,0.0,0.0,0.0,0,1,22.0,1,1.0,1.0,7.0,83.0,23.0,6.0,0.0,841,1,0,1,0,0,0,1,1
11,60,28,0.0,0.0,0.0,0.0,6,4,15.0,4,1.0,1.0,,,,6.0,,784,1,6,1,0,0,0,0,0
6,72,16,0.0,1.0,0.0,1.0,7,0,,0,1.0,0.0,,,,4.0,,256,1,7,0,0,0,1,0,0
6,62,26,0.0,0.0,0.0,0.0,0,2,21.0,2,1.0,1.0,3.0,88.0,25.0,,0.0,676,1,0,0,0,0,1,1,1
6,66,22,0.0,1.0,0.0,1.0,4,1,19.0,1,1.0,0.0,7.0,87.0,21.0,4.0,1.0,484,1,4,0,0,0,1,0,1
10,58,30,0.0,1.0,0.0,0.0,0,3,17.0,3,1.0,1.0,5.0,75.0,16.0,5.0,5.0,900,1,0,1,0,0,0,1,1
1,68,20,0.0,1.0,0.0,0.0,4,1,18.0,1,1.0,1.0,3.0,88.0,20.0,2.0,0.0,400,1,4,1,0,0,1,0,1
5,67,21,0.0,0.0,0.0,0.0,0,0,,0,1.0,0.0,6.0,88.0,21.0,4.0,6.0,441,1,0,1,0,0,1,1,1
8,69,19,0.0,0.0,0.0,0.0,7,2,15.0,2,1.0,0.0,,,,4.0,,361,1,7,1,0,0,0,0,0
5,66,22,0.0,0.0,0.0,0.0,6,2,17.0,2,1.0,1.0,2.0,84.0,17.0,6.0,0.0,484,1,6,1,0,0,1,0,1
11,63,25,0.0,0.0,0.0,0.0,0,3,17.0,3,1.0,0.0,2.0,84.0,20.0,2.0,,625,1,0,1,0,0,0,1,1
8,59,29,0.0,0.0,0.0,0.0,0,5,17.0,4,1.0,1.0,2.0,80.0,20.0,4.0,0.0,841,1,0,1,0,0,0,1,1
8,55,33,0.0,1.0,0.0,1.0,2,5,19.0,4,1.0,1.0,9.0,73.0,18.0,4.0,0.0,1089,1,2,0,1,0,0,0,1
2,63,25,0.0,1.0,0.0,1.0,0,2,20.0,2,1.0,1.0,5.0,83.0,20.0,4.0,,625,1,0,0,0,0,1,1,1
8,66,22,0.0,1.0,0.0,0.0,10,2,16.0,1,1.0,0.0,,,,3.0,,484,1,10,0,1,0,0,0,0
2,70,18,0.0,1.0,0.0,1.0,7,0,,0,1.0,0.0,,,,4.0,,324,1,7,1,0,0,1,0,0
8,72,16,0.0,1.0,0.0,0.0,7,0,,0,1.0,0.0,,,,4.0,,256,1,7,1,0,0,0,0,0
10,41,47,0.0,1.0,0.0,1.0,2,4,25.0,4,1.0,1.0,,,,4.0,,2209,1,2,0,0,0,0,0,0
9,69,19,0.0,1.0,0.0,1.0,10,0,,0,1.0,0.0,,,,2.0,,361,1,10,0,0,0,0,0,0
1,53,35,0.0,0.0,0.0,0.0,6,1,22.0,1,1.0,0.0,,,,,,1225,1,6,1,0,0,1,0,0
8,70,18,0.0,1.0,0.0,1.0,7,1,17.0,1,1.0,1.0,,,,2.0,,324,1,7,0,0,1,0,0,0
12,59,28,0.0,0.0,0.0,0.0,12,1,26.0,1,1.0,1.0,,,,4.0,,784,1,12,1,0,0,0,0,0
2,69,19,0.0,0.0,0.0,0.0,7,1,19.0,1,1.0,0.0,,,,4.0,,361,1,7,0,0,0,1,0,0
10,68,20,0.0,1.0,0.0,1.0,8,1,18.0,1,1.0,0.0,,,,1.0,,400,1,8,0,1,0,0,0,0
11,70,18,0.0,0.0,0.0,0.0,7,1,17.0,1,1.0,0.0,,,,4.0,,324,1,7,0,0,1,0,0,0
8,52,36,0.0,1.0,0.0,0.0,1,4,20.0,3,1.0,1.0,6.0,83.0,30.0,4.0,0.0,1296,1,1,0,0,0,0,0,1
9,61,27,0.0,1.0,0.0,0.0,7,2,21.0,2,1.0,1.0,,,,2.0,,729,1,7,0,1,0,0,0,0
1,48,40,0.0,0.0,0.0,0.0,2,4,18.0,4,1.0,0.0,11.0,69.0,21.0,4.0,,1600,1,2,1,0,0,1,0,1
10,66,22,0.0,0.0,0.0,0.0,7,1,21.0,1,1.0,0.0,,,,4.0,,484,1,7,0,0,1,0,0,0
12,66,21,0.0,0.0,0.0,0.0,7,1,19.0,1,1.0,1.0,,,,4.0,,441,1,7,1,0,0,0,0,0
1,58,30,0.0,1.0,0.0,0.0,5,5,19.0,3,1.0,1.0,,,,4.0,,900,1,5,0,0,1,1,0,0
10,58,30,0.0,0.0,0.0,0.0,0,3,19.0,3,1.0,1.0,,,,4.0,,900,1,0,0,0,1,0,1,0
3,71,17,0.0,0.0,0.0,0.0,9,0,,0,1.0,1.0,,,,6.0,,289,1,9,0,0,0,1,0,0
11,60,28,0.0,0.0,0.0,0.0,0,3,18.0,3,1.0,1.0,7.0,87.0,26.0,4.0,,784,1,0,0,0,0,0,1,1
7,69,19,0.0,0.0,0.0,0.0,7,2,16.0,1,1.0,0.0,12.0,84.0,15.0,4.0,7.0,361,1,7,0,0,1,0,0,1
11,51,37,0.0,0.0,0.0,0.0,0,3,21.0,3,1.0,0.0,,,,4.0,,1369,1,0,0,0,1,0,1,0
1,53,35,0.0,1.0,0.0,0.0,0,3,21.0,3,1.0,1.0,2.0,72.0,19.0,8.0,0.0,1225,1,0,0,0,0,1,1,1
11,67,21,0.0,1.0,0.0,0.0,9,2,18.0,1,1.0,1.0,5.0,86.0,18.0,2.0,12.0,441,1,9,0,0,1,0,0,1
5,54,34,0.0,1.0,0.0,1.0,5,5,18.0,5,1.0,1.0,4.0,72.0,17.0,8.0,0.0,1156,1,5,0,0,0,1,0,1
9,61,27,0.0,1.0,0.0,0.0,12,3,16.0,3,1.0,1.0,6.0,82.0,20.0,5.0,10.0,729,1,12,0,1,0,0,0,1
12,41,47,0.0,0.0,0.0,0.0,4,6,21.0,5,1.0,0.0,,,,6.0,,2209,1,4,0,1,0,0,0,0
